ID: 1122224287375663106,,,,no,27/04/19 19:41:34,"Entonces, que esperan para sancionar a los que toman casetas y cierran carreteras?",Twitter for Android,view tweet url
ID: 1122232175217250304,,,,no,27/04/19 20:12:55,"@El_Universal_Mx ¿Qué más da que sea una pena de hasta 30 años de cárcel si, hasta dónde sé, a nadie de los que toman casetas termina siendo arrestado por ese delito?",Twitter Web App,view tweet url
ID: 1122234038780092416,,,,no,27/04/19 20:20:19,"@El_Universal_Mx entonces? solo queda en mera información, de que sirve si no se hace algo",Twitter Web App,view tweet url
ID: 1122235781383217152,1,,,no,27/04/19 20:27:15,"@El_Universal_Mx NO PERSIGUIERON A mario marín y kamel nacif, SEGURO QUE gerts ES  ENEMIGO DLE PUEBLO Y DE ANDRÉS MANUEL RT",Twitter Web Client,view tweet url
ID: 1122235993510178816,,,,no,27/04/19 20:28:05,@El_Universal_Mx Y luego...???? Se agarraron a los que tomaron esta semana las casetas..???,Twitter for Android,view tweet url
ID: 1122236009104601088,,,,no,27/04/19 20:28:09,"@El_Universal_Mx Es solo algo que está escrito, por años se han tomado y han sacado provecho ciertos grupos y no hay sanciones",Twitter for iPhone,view tweet url
ID: 1122236477209899008,,,,no,27/04/19 20:30:00,"@El_Universal_Mx Ah chinga chinga chinga, de verdad ?",Twitter for iPad,view tweet url
ID: 1122236509913010178,,,,no,27/04/19 20:30:08,"@El_Universal_Mx Eso ya lo sabemos , la pregunta es por qué lo permiten ??",Twitter for Android,view tweet url
ID: 1122237217911529474,,,,no,27/04/19 20:32:57,@El_Universal_Mx Me gustaría ver.que sea cierto y no puro. Bla bla bla.,Twitter for Android,view tweet url
ID: 1122238246560444417,,,,no,27/04/19 20:37:02,@El_Universal_Mx Mejor que legislen y le pongan multa$ minimo lo que pierden Las caseta$. Ya se hubieran hecho ricos Los gobiernos pobres?,Twitter for Android,view tweet url
ID: 1122239160394248192,,,,no,27/04/19 20:40:40,@El_Universal_Mx Y luego? Porque lo permiten? Ches autoridades guangas blandengues ??,Twitter for Android,view tweet url
ID: 1122239598036312064,1,,3,no,27/04/19 20:42:25,"@El_Universal_Mx Avísenle al que está de presidente, y también preguntenle si pueden reprimir al pueblo bueno y sabio",Twitter for iPad,view tweet url
ID: 1122240239957880832,,,,no,27/04/19 20:44:58,@El_Universal_Mx Será cierto?,Twitter for iPad,view tweet url
